canonical_id,canonical_name,venue_type,noise_pos,noise_neu,noise_neg,noise_n,crowding_pos,crowding_neu,crowding_neg,crowding_n,calm_pos,calm_neu,calm_neg,calm_n,show_calm
cv_0296,Le Pain Quotidien,cafe,0,1,0,1,0,0,0,0,0,1,0,1,True
cv_0297,semicolon cafe,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0298,Waypoint Cafe NYC,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0299,The Library at the Public,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0300,Bluestone Lane 330 Madison Avenue,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0301,Matto Espresso,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0302,THE ELK on Mott,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0303,Jack's Stir Brew Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0304,Writers Room Inc,other,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0305,Partners Coffee - West Village,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0306,In Common NYC - A Breakfast & Brunch Restaurant,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0307,Matto Espresso,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0308,Le Cafe Coffee,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0313,The Hotel Chelsea,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0309,Cafe East,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0310,The Hugh,restaurant,0,0,0,0,0,0,1,1,0,0,1,1,True
cv_0311,La Colombe Coffee Workshop,cafe,0,0,0,0,0,1,0,1,0,1,0,1,True
cv_0312,Café Standard,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0319,David Geffen Hall,other,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0314,Peacefood,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0315,Serafina Broadway 55th (Midtown),restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0316,Pier 57,restaurant,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0317,The Greenwich Hotel,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0318,Walker Hotel Greenwich Village,hotel,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0321,La Colombe Coffee Workshop,cafe,0,0,0,0,0,0,0,0,0,0,0,0,False
cv_0322,Little Collins,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0323,Birch Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0324,Ralph's Coffee,cafe,1,0,0,1,0,0,0,0,1,0,0,1,True
cv_0325,Caffè Lavazza.,cafe,0,0,1,1,0,0,0,0,0,0,1,1,True
cv_0326,Andrew Heiskell Braille and Talking Book Library,library,0,0,0,0,0,0,0,0,0,0,0,0,False
